NAMESPACE                       NAME                                                  IMAGE REPOSITORY                                                                                                                        TAGS                                                           UPDATED
bifast-api-sit                  bifastincomingtrx-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastincomingtrx-be                                         latest,934e30e5,2a932e55,80db7046 + 65 more...                 25 hours ago
bifast-api-sit                  bifastnotification-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastnotification-be                                        def907b8,latest,b5536f86,58abf48e + 8 more...                  4 days ago
bifast-api-sit                  bifastoutgoingproxy-be                                default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastoutgoingproxy-be                                       latest,6a286b89,adee0ea1,2ccdee77 + 176 more...                25 hours ago
bifast-api-sit                  bifastoutgoingproxycihub-be                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastoutgoingproxycihub-be                                  latest,a8abe735,7e04f1c7,f5a59d2a + 7 more...                  5 months ago
bifast-api-sit                  bifastoutgoingtrx-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastoutgoingtrx-be                                         latest,27f8128d,ae34d10d,d706e83a + 139 more...                6 hours ago
bifast-api-sit                  bifastparameter-be                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastparameter-be                                           latest,b210ecae,1be17a2b,5b6eef9b + 99 more...                 6 days ago
bifast-api-sit                  bifastrekon-be                                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastrekon-be                                               latest,86ed4340,0791126f,b869aa0c + 1 more...                  6 weeks ago
bifast-api-sit                  bifastrekon-omni                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastrekon-omni                                             latest,39a2426d,f1004110,7a00ab8c + 2 more...                  6 weeks ago
bifast-api-sit                  dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/dotnet-21-runtime-rhel7                                      latest                                                         5 months ago
bifast-api-uat                  bifast-omni                                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifast-omni                                                  c08f08a9,latest,bdd4fb69,5fddb7b5 + 27 more...                 9 hours ago
bifast-api-uat                  bifast-preevent                                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifast-preevent                                              latest,ae3da8ad,cf7c5304,c893ca72 + 13 more...                 31 hours ago
bifast-api-uat                  bifast-scheduler                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifast-scheduler                                             latest,583532c7,9c4d4c44                                       8 days ago
bifast-api-uat                  bifastconnectorinc-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifastconnectorinc-be                                        461f7d4d,latest,525a8d1a,7700c01d + 6 more...                  2 days ago
bifast-api-uat                  bifastconnectorout-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifastconnectorout-be                                        cd081136,latest,d339aae9,1a6af1a5 + 30 more...                 9 hours ago
bifast-api-uat                  bifastincomingtrx-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifastincomingtrx-be                                         934e30e5,latest,2a932e55,80db7046 + 13 more...                 25 hours ago
bifast-api-uat                  bifastnotification-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifastnotification-be                                        latest,def907b8,b5536f86,58abf48e + 4 more...                  4 days ago
bifast-api-uat                  bifastoutgoingproxy-be                                default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifastoutgoingproxy-be                                       latest,6a286b89,adee0ea1,2ccdee77 + 62 more...                 25 hours ago
bifast-api-uat                  bifastoutgoingtrx-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifastoutgoingtrx-be                                         latest,27f8128d,859b96fb,d706e83a + 50 more...                 6 hours ago
bifast-api-uat                  bifastparameter-be                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifastparameter-be                                           latest,5b6eef9b,abe8a512,2d8c1992 + 22 more...                 6 days ago
bifast-api-uat                  bifastrekon-be                                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifastrekon-be                                               latest,0791126f,cbf8f373                                       6 weeks ago
bifast-api-uat                  bifastrekon-omni                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/bifastrekon-omni                                             latest,42887b99,0d72c62a                                       6 weeks ago
bifast-api-uat                  dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-uat/dotnet-21-runtime-rhel7                                      latest                                                         5 months ago
bifast-web-ppd                  bifast-web                                            default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-web-ppd/bifast-web                                                   latest,1.0.16,1.0.15,1.0.14,1.0.13 + 8 more...                 5 hours ago
bifast-web-ppd                  nodejs-12-rhel7                                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-web-ppd/nodejs-12-rhel7                                              latest                                                         8 days ago
bifast-web-sit                  bifast-dummy                                          default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-web-sit/bifast-dummy                                                 latest,29b2be07                                                3 months ago
bifast-web-sit                  bifast-web                                            default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-web-sit/bifast-web                                                   latest,786a86ca,8096bd2d,78719072 + 180 more...                33 hours ago
bifast-web-sit                  bifastrekon-web                                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-web-sit/bifastrekon-web                                              latest,7fae45b7                                                5 months ago
bifast-web-sit                  nodejs-12-rhel7                                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-web-sit/nodejs-12-rhel7                                              latest                                                         2 weeks ago
bifast-web-uat                  bifast-web                                            default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-web-uat/bifast-web                                                   latest,9a2a93d5,b15feddd,a7768f3d + 66 more...                 6 hours ago
bifast-web-uat                  nodejs-12-rhel7                                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-web-uat/nodejs-12-rhel7                                              latest                                                         2 weeks ago
